date,unit_nav,cumulative_nav,adjusted_nav,change_pct,id,fid,source,insert_date
2025-05-09,1.492,1.586,1.60478814,1.70415815,77935413,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-04-30,1.467,1.561,1.57789826,0.2734108,77935412,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-04-25,1.463,1.557,1.57359588,0.48076923000000005,77935411,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-04-18,1.456,1.55,1.56606671,-0.34223135,77935410,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-04-11,1.461,1.555,1.57144469,-0.1367054,77935409,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-04-03,1.463,1.557,1.57359588,-0.06830601,77935408,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-03-28,1.464,1.558,1.57467148,-0.8130081299999999,77935407,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-03-21,1.476,1.57,1.58757862,0.06779661000000001,77935406,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-03-14,1.475,1.569,1.58650302,-0.27045301,77935405,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-03-07,1.479,1.573,1.59080541,0.7493188,77935404,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-02-28,1.468,1.562,1.57897386,1.6620498599999998,77935403,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-02-21,1.444,1.538,1.55315957,2.6297086000000003,77935402,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-02-14,1.407,1.501,1.51336255,0.7879656199999999,77935401,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-02-07,1.396,1.49,1.501531,1.52727273,77935400,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-01-27,1.375,1.469,1.4789435,0.0,77935399,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-01-24,1.375,1.469,1.4789435,0.0727802,77935398,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-01-17,1.374,1.468,1.4778679,0.9551800100000001,77935397,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-01-10,1.361,1.455,1.46388516,0.28551035,77935396,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-01-03,1.401,1.451,1.45971752,-0.91937765,77935395,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-12-27,1.414,1.464,1.47326236,-1.73731758,77935394,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-12-20,1.439,1.489,1.49931014,-1.50581793,77935393,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-12-13,1.461,1.511,1.52223219,0.75862069,77935392,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-12-06,1.45,1.5,1.51077117,1.25698324,77935391,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-11-29,1.432,1.482,1.49201676,1.7045454500000001,77935390,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-11-22,1.408,1.458,1.4670109,1.8813314,77935389,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-11-15,1.382,1.432,1.43992121,1.6924209,77935388,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-11-08,1.359,1.409,1.41595725,1.49365198,77935387,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-11-01,1.339,1.389,1.39511903,-0.22354694,77935386,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-10-25,1.342,1.392,1.39824476,3.2307692300000004,77935385,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-10-18,1.3,1.35,1.35448449,0.0,77935384,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-10-11,1.3,1.35,1.35448449,5.86319218,77935383,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-09-30,1.228,1.278,1.27946689,4.688832049999999,77935382,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-09-27,1.173,1.223,1.22216178,-1.26262626,77935381,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-09-20,1.188,1.238,1.23779044,0.084246,77935380,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-09-13,1.187,1.237,1.23674853,-1.24792013,77935379,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-09-06,1.202,1.252,1.2523772,-0.16611295999999998,77935378,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-08-30,1.204,1.254,1.25446102,-0.90534979,77935377,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-08-23,1.215,1.265,1.26592205,-0.57283142,77935376,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-08-16,1.222,1.272,1.27321542,0.0,77935375,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-08-09,1.222,1.272,1.27321542,-0.24489796000000003,77935374,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-08-02,1.225,1.275,1.27634116,0.24549917999999998,77935373,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-07-26,1.222,1.272,1.27321542,-0.16339868999999999,77935372,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-07-19,1.224,1.274,1.27529925,-0.97087379,77935371,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-07-12,1.236,1.286,1.28780218,0.0,77935370,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-07-05,1.236,1.286,1.28780218,-0.7228915699999999,77935369,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-06-28,1.245,1.295,1.29717938,1.2195121999999998,77935368,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-06-21,1.23,1.28,1.28155071,1.5689512799999998,77935367,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-06-14,1.211,1.261,1.2617544,0.33140017,77935366,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-06-07,1.207,1.257,1.25758676,-0.6584362100000001,77935365,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-05-31,1.215,1.265,1.26592205,0.16488046,77935364,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-05-24,1.213,1.263,1.26383822,-0.73649755,77935363,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-05-17,1.222,1.272,1.27321542,0.57613169,77935362,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-05-10,1.215,1.265,1.26592205,0.49627792,77935361,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-04-30,1.209,1.259,1.25967058,0.24875622,77935360,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-04-26,1.206,1.256,1.25654484,-0.24813896,77935359,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-04-19,1.209,1.259,1.25967058,-2.81350482,77935358,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-04-12,1.244,1.294,1.29613747,-1.1128775800000001,77935357,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-04-03,1.258,1.308,1.31072422,0.47923323000000007,77935356,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-03-29,1.252,1.302,1.30447276,0.88638195,77935355,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-03-22,1.241,1.291,1.29301174,2.30832646,77935354,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-03-15,1.213,1.263,1.26383822,1.6764459299999999,77935353,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-03-08,1.193,1.243,1.243,1.22149837,77935352,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-03-01,1.228,1.228,1.228,0.73831009,77935351,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-02-23,1.219,1.219,1.219,14.031805429999999,77935350,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-02-08,1.069,1.069,1.069,-4.03949731,77935349,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-02-02,1.114,1.114,1.114,-4.94880546,77935348,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-01-26,1.172,1.172,1.172,0.0,77935347,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-01-19,1.172,1.172,1.172,-0.76206605,77935346,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-01-12,1.181,1.181,1.181,0.25466893,77935345,1efcf35e914e1b54,10,2026-06-30 11:05:17
2024-01-05,1.178,1.178,1.178,1.2897678399999999,77935344,1efcf35e914e1b54,10,2026-06-30 11:05:17
2023-12-29,1.163,1.163,1.163,0.17226529,77935343,1efcf35e914e1b54,10,2026-06-30 11:05:17
